Date,Time1,Time2,Vol_BTC_in_AUD,Vol_BTC_in_CAD,Vol_BTC_in_CNY,Vol_BTC_in_EUR,Vol_BTC_in_GBP,Vol_BTC_in_HKD,Vol_BTC_in_JPY,Vol_BTC_in_PLN,Vol_BTC_in_USD,Vol_BTC_in_others
2016-11-01,00:00:00,UTC,10236.49241294,11597.70189339,173047579.066482,279853.771036231,43059.32649213,386.7413,762515.979132301,29668.09561117,1199814.54284569,89225.8657338797
2016-12-01,00:00:00,UTC,9668.13656542,12509.33773066,168225589.923778,332648.309575169,57088.7963689199,454.5632,836101.150569769,43711.9204985,1324066.33226041,91435.5891707466
2017-01-01,00:00:00,UTC,10685.81384987,18113.7281572,103994291.703876,492915.81523115,62960.83728208,299.7663,868158.708808488,73512.3558697801,2210908.39790514,98892.0591536424
2017-02-01,00:00:00,UTC,7744.13229002,12807.56936923,909937.933900001,369990.005541951,49315.5127885801,316.8781,654178.641321027,48426.71345127,1529379.16119919,88345.4556297432
2017-03-01,00:00:00,UTC,13053.64913677,24348.81198231,706754.618964041,679485.366905692,71419.87059324,350.70612204,591385.78201939,68046.09604411,2642112.98851449,107155.665518839
2017-04-01,00:00:00,UTC,9491.06947624,14155.07560691,507379.03841356,371482.441408972,52737.7211183601,518.07641358,249148.15174021,45283.0630298099,1472678.2052328,83845.973944342
2017-05-01,00:00:00,UTC,14939.53934715,26909.8719811199,1240203.16080269,887884.2113589,83072.25490084,386.59717313,441051.95220694,75619.5022206699,3052028.53678019,119322.420952688
2017-06-01,00:00:00,UTC,11631.5536428,22459.95957735,835829.214412718,723952.56067065,73054.34730133,342.69055833,343186.619981789,55718.71440065,2559555.81328139,81880.2569462673
2017-07-01,00:00:00,UTC,10188.59735264,22148.46387659,751014.1833973,618746.8837733,69039.59896971,210.92916243,464468.3150897,52187.77980299,2858353.78293964,76280.8582579794
2017-08-01,00:00:00,UTC,12210.80447472,19837.77211625,1064368.78057274,541128.716896499,53791.2290565001,534.09451664,407347.133899608,43871.6126132399,2549123.75890985,76428.5199209467
2017-09-01,00:00:00,UTC,14867.97336936,20741.94994346,856599.901510179,567052.828555721,50086.67607399,450.25980088,557263.848131371,40005.98009992,3226460.86593979,77072.8815298065
2017-10-01,00:00:00,UTC,10920.85727549,14049.76009044,100091.33851944,404397.392879401,65845.73624221,360.03704343,648933.131105719,10720.99004902,2663639.84739521,70168.1983254103
2017-11-01,00:00:00,UTC,20934.48403542,22863.73828633,7198.31934432,570634.74234557,99191.8564764301,419.36978298,737817.03589226,13521.06461589,4222248.51339621,85925.8453226746
2017-12-01,00:00:00,UTC,31467.2956762,27045.39551604,4692.17728941,656286.872164078,110577.73189975,315.41503011,695535.242074593,12491.50688347,4759735.14456125,84391.4004390499
